tool,row_index,delta,n,strength,effective_realizations_per_orientation,total,gap_accuracy,joint_accuracy,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent,gap_positive_rate,joint_positive_rate,gap_accuracy_ci95,joint_accuracy_ci95,error_difference_ci95
ssh_disorder_diagnostic_benchmark,40,0.05,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,41,0.05,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,42,0.05,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,43,0.05,80.0,0.2,128.0,256.0,0.99609375,0.984375,0.0,0.0,0.0078125,0.03125,-0.01171875,0.0,3.0,0.25,0.0,,,,,
ssh_disorder_diagnostic_benchmark,44,0.05,80.0,0.4,128.0,256.0,0.953125,0.953125,0.032,0.032,0.06106870229,0.06106870229,0.0,0.0,0.0,1.0,5.0,,,,,
ssh_disorder_diagnostic_benchmark,45,0.1,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,46,0.1,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,47,0.1,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,48,0.1,80.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,49,0.1,80.0,0.4,128.0,256.0,0.99609375,1.0,0.0078125,0.0,0.0,0.0,0.00390625,1.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,50,0.2,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
