run,namespace,disorder_type,n,delta,strength,effective_realizations_per_orientation,reference_label,total,gap_accuracy,joint_accuracy,gap_positive_rate,joint_positive_rate,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.1,0.1,128,not_defined,256,,,0.48046875,0.48046875,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.1,0.2,128,not_defined,256,,,0.359375,0.359375,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.1,0.4,128,not_defined,256,,,0.20703125,0.20703125,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.2,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.2,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.2,0.1,128,not_defined,256,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.2,0.2,128,not_defined,256,,,0.4375,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,40,0.2,0.4,128,not_defined,256,,,0.28125,0.45703125,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.05,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.05,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.05,0.1,128,not_defined,256,,,0.46875,0.46875,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.05,0.2,128,not_defined,256,,,0.26171875,0.26171875,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.05,0.4,128,not_defined,256,,,0.171875,0.1640625,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.1,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.1,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.1,0.1,128,not_defined,256,,,0.4921875,0.4921875,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.1,0.2,128,not_defined,256,,,0.3671875,0.3671875,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.1,0.4,128,not_defined,256,,,0.26953125,0.26953125,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.2,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.2,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,diagonal,80,0.2,0.1,128,not_defined,256,,,0.5,0.5,,,,,,,,,
